Uuid,Void/Retire,Fully specified name:en,Fully specified name:km_KH,Short name:en,Short name:km_KH,Description:en,Description:km_KH,Data class,Data type,Answers,_version:1,_order:1000
2fe5c749-0e42-42ad-8317-cce3a25e5fec,,MobileCountryCode,,Mobile Country Code,,Mobile Country Code,,Misc,Coded,3ea74ec2-cb00-4a34-9b0c-d7ca4630e8d9;880fb921-cfe6-4558-a4c4-b4833f8fdf14;6f567334-ea04-4e52-abc6-85540d04608d;837daf2a-3735-40d2-abbc-b2806ea881ad;c8e32e85-47ff-496c-952d-5cc7b404eb7f;f77cae0f-4a9d-4a34-a434-f750931e26c7;f94a1899-ae70-429f-8259-d7c0ffcac40e;b606ac27-900c-45e1-8d3f-ee308445e8f6;7e0d7a8d-a10f-4a25-9b64-a686933a46bf;,,
81e28547-9525-4a32-bcce-0d03174ecf6c,,NewPatient,,New Patient,,New Patient,,Misc,Text,,,
a63bff9f-4e0b-44b7-aae8-be11983b1e21,,Walk-In,,Walk-In,,Walk-In,,Misc,Text,,,
9b187a3f-be62-4dea-b0e8-709019aa93d2,,Transfer-In,,Transfer-In,,Transfer-In,,Misc,Text,,,
46d19845-a2dc-4de2-9656-04169bf83b59,,ExistingPatient,,Existing Patient,,Existing Patient,,Misc,Text,,,
718d9c66-2931-4f00-afea-73a6fe1e061d,,HeiRelationship,,New HEI,,New HEI Relationship,,Misc,Text,,,
f58553e4-34bc-4f37-8f76-e0b51dd77a51,,ExistingHeiRelationship,,Existing HEI,,Existing HEI Relationship,,Misc,Text,,,
913cfe7a-fef0-4ca9-9339-3e48fa5ca8bd,,TypeofPatient,,Type of Patient,,Type of Patient,,Misc,Coded,81e28547-9525-4a32-bcce-0d03174ecf6c;a63bff9f-4e0b-44b7-aae8-be11983b1e21;9b187a3f-be62-4dea-b0e8-709019aa93d2;46d19845-a2dc-4de2-9656-04169bf83b59;718d9c66-2931-4f00-afea-73a6fe1e061d;f58553e4-34bc-4f37-8f76-e0b51dd77a51;,,
57317e37-27c0-48ec-b5a5-c292516bd47f,,Walk-InReason-Returnee,,Returnee,,Returnee,,Misc,Text,,,
f0443115-7665-4fc2-88af-82d2feb6af54,,Walk-InReason-Hazard,,Hazard,,Hazard,,Misc,Text,,,
f543d8a7-5580-484f-807f-a5b3911ba083,,Walk-InReason-Traveler,,Traveler,,Traveler,,Misc,Text,,,
77000bbb-582d-4a01-9d86-2a5759fb6f74,,Walk-InReason-Visitor,,Visitor,,Visitor,,Misc,Text,,,
60e47f33-6a86-4092-a61d-0c432d932769,,Walk-InReason-Others,,Others,,Others,,Misc,Text,,,
63fabc42-a2ea-44e6-b530-098e16992bdf,,PatientTypeWalk-InReason,,Patient Type Walk-In Reason,,Patient Type Walk-In Reason,,Misc,Coded,57317e37-27c0-48ec-b5a5-c292516bd47f;f0443115-7665-4fc2-88af-82d2feb6af54;f543d8a7-5580-484f-807f-a5b3911ba083;77000bbb-582d-4a01-9d86-2a5759fb6f74;60e47f33-6a86-4092-a61d-0c432d932769;,,
b6bcdfc9-93a0-405d-b140-198d8c527e5c,yes,NotMarried,,Not Married,,Not Married,,Misc,Text,,,
39dbc547-8bf2-49a0-9b4a-deb24ed1fa08,,Single,,,,,,Misc,Text,,,
ab15e564-3109-4993-9631-5f185933f0fd,,Married,,Married,,Married,,Misc,Text,,,
89a1e00a-46e7-4e8a-9e52-a759e578e3ec,,Divorced,,Divorced,,Divorced,,Misc,Text,,,
8f1505d3-9003-4ba1-a69c-f5c4d137c4cc,,Separated,,Separated,,Separated,,Misc,Text,,,
384917fb-3326-40ff-ad0a-585f062c7f82,,Widower,,Widower,,Widower,,Misc,Text,,,
b043bbcf-5ce7-4af3-8c69-a904d7c7dece,,Widow,,Widow,,Widow,,Misc,Text,,,
a3d1c439-aad9-418e-bfc1-a8b7836a0253,,NotApplicable(Child),,Not Applicable (Child),,Not Applicable (Child),,Misc,Text,,,
f87c42ab-aadf-4188-af4d-e92878864ee1,,MaritalStatus,,Marital Status,,Marital Status,,Misc,Coded,39dbc547-8bf2-49a0-9b4a-deb24ed1fa08;ab15e564-3109-4993-9631-5f185933f0fd;89a1e00a-46e7-4e8a-9e52-a759e578e3ec;8f1505d3-9003-4ba1-a69c-f5c4d137c4cc;384917fb-3326-40ff-ad0a-585f062c7f82;b043bbcf-5ce7-4af3-8c69-a904d7c7dece;a3d1c439-aad9-418e-bfc1-a8b7836a0253;,,
0eafd7bd-dc93-4324-9d8d-14fbaa7257e4,,CodedYesNo,,CodedYesNo,,CodedYesNo,,Misc,Coded,a2065636-5326-40f5-aed6-0cc2cca81ccc;b497171e-0410-4d8d-bbd4-7e1a8f8b504e;,,
3f92c5d5-8919-4fd4-b078-edc5ad9529ce,,Guardian,,Guardian,,Guardian,,Misc,Text,,,
ad0d0a33-a362-4a0d-a303-b9a8f1c7d047,,Parent,,Parent,,Parent,,Misc,Text,,,
39749542-413c-4186-9cc0-42948908705d,,AlternativeContactRelationshipType,,Relationship,,Alternative Contact Relationship Type,,Misc,Coded,3f92c5d5-8919-4fd4-b078-edc5ad9529ce;ad0d0a33-a362-4a0d-a303-b9a8f1c7d047;,,
fefc803e-a236-400e-b80a-76c7fa199e98,"",TreatmentSupporterRelationshipSpouse,"",Spouse,"",Spouse,"",Misc,Text,"","",""
1f01e7b6-ae68-4a57-812f-45872a2197ef,,TreatmentSupporterRelationshipFather,,Father,,Father,,Misc,Text,,,
a33d398d-e7f5-4a85-8f79-311834cc953f,,TreatmentSupporterRelationshipMother,,Mother,,Mother,,Misc,Text,,,
5feba5d3-620b-4f25-9875-68f1ade832a6,,TreatmentSupporterRelationshipSibling,,Sibling,,Sibling,,Misc,Text,,,
88fbcf6f-825e-4519-bf35-703036ea5058,,TreatmentSupporterRelationshipBrother,,Brother,,,,Misc,Text,,,
5b309119-8b40-44dc-b197-ce81e66290e3,,TreatmentSupporterRelationshipSister,,Sister,,,,Misc,Text,,,
15690faf-9752-41f7-92f9-31712ddb2986,,TreatmentSupporterRelationshipChild,,Child,,Child,,Misc,Text,,,
"0d03aa71-d64a-4a26-a345-b83c8ab77c73 ",,TreatmentSupporterRelationshipGuardian,,Guardian,,Guardian,,Misc,Text,,,
1326ad49-055f-468f-a30d-3bacd0e5e940,,TreatmentSupporterRelationshipPartner,,Partner,,Partner,,Misc,Text,,,
eb9e4f7f-926b-44ee-98b8-3c7d39efd9bb,,TreatmentSupporterRelationshipOthers,,Others,,Others,,Misc,Text,,,
a96339c8-4b87-4784-a6af-7bec7b291855,,TreatmentSupporterRelationship,,Relationship,,Treatment Supporter Relationship,,Misc,Coded,1f01e7b6-ae68-4a57-812f-45872a2197ef;fefc803e-a236-400e-b80a-76c7fa199e98;a33d398d-e7f5-4a85-8f79-311834cc953f;15690faf-9752-41f7-92f9-31712ddb2986;0d03aa71-d64a-4a26-a345-b83c8ab77c73 ;1326ad49-055f-468f-a30d-3bacd0e5e940 ;5b309119-8b40-44dc-b197-ce81e66290e3 ; 88fbcf6f-825e-4519-bf35-703036ea5058;eb9e4f7f-926b-44ee-98b8-3c7d39efd9bb,,
137c287e-9f69-4ef0-a582-c029db4e3604,,SelfTransfer,,Self Transfer,,Self Transfer,,Misc,Text,,,
7fcebc30-7073-4260-a942-bbcd5b3d23bc,,FormalTransfer,,Formal Transfer,,Formal Transfer,,Misc,Text,,,
56da3fe4-f8ed-4ec6-bcb3-0204964853a4,,TransferInformation,,Transfer-In Method,,Transfer-In Method,,Misc,Coded,"137c287e-9f69-4ef0-a582-c029db4e3604; 7fcebc30-7073-4260-a942-bbcd5b3d23bc ; ",,
061fe444-08e3-4aa4-9cec-998a8266774f,,TransferinAlreadyInART,,Already In ART,,Already In ART,,Misc,Text,,,
e3a70b34-7e82-477b-a31b-9450d02ee9cb,,TransferInNewOnART,,New On ART,,New On ART,,Misc,Text,,,
20153e36-2606-4230-ad8d-9c344a1ea0b7,,TransferInTreatmentStatus,,Treatment Status,,Treatment Status,,Misc,Coded,"061fe444-08e3-4aa4-9cec-998a8266774f ; e3a70b34-7e82-477b-a31b-9450d02ee9cb ; ",,
