Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:3,_order:126,Data class,Data type,Answers
e360501a-123a-4efb-93ef-4dc19d031921,,CTX Adherence,CTX Adherence,CTX Adherence,,,,Question,Coded,Adherence Good ; Adherence Fair ; Adherence Poor
d5d1d355-9e77-4e11-b733-884974f51169,,was counselling done?,was counselling done?,,,,,Question,Boolean,
d0f3605e-f026-4ef8-973a-f471a236049a,,Reason why Adherence is Fair,Reason,,,,,Question,Text,
b0058799-4655-471d-8124-6acd14c6beb1,,Reason why Adherence is Poor,Reason,,,,,Question,Text,
6ad327aa-d514-4b31-b21c-294a62a6fb30,,Classification Of Adherence,EAC Results,Classification Of Adherence,,,,Question,Coded,Adherence Good ; Adherence Fair ; Adherence Poor
1a07bffa-2e01-43bb-880e-c68c02300b36,,EAC Results,EAC Results,Classification Of Adherence,,,,Question,Coded,Adherence Good ; Adherence Fair ; Adherence Poor
206cb019-fd89-46a5-8731-abe3cdcaac8c,,Counselling Date,Counselling Date,,,,,Question,Date,
039704e4-7d5c-4062-b490-8252069ba142,,First EAC Session Date,First EAC Session Date,,,,,Question,Date,
46ae050e-e1b6-48e6-aa1f-bba975347f5a,,Classification Of Adherence(First EAC session),Adherence( First Session),,,,,Question,Coded,Adherence Good ; Adherence Fair ; Adherence Poor
4bf2af69-1576-44a9-ae60-95cd3ca2ae72,,Second EAC Session Date,Second EAC Session Date,,,,,Question,Date,
7c9976a3-f646-4ed4-8d2f-ab133ea9b292,,Classification Of Adherence(Second EAC session),Adherence(Second session),,,,,Question,Coded,Adherence Good ; Adherence Fair ; Adherence Poor
599137e4-9f91-4b51-aa73-c9b68fe81ac5,,Third EAC Session Date,Third EAC Session Date,,,,,Question,Date,
6851bf56-ded4-4b89-ba93-d9d380927e15,,Classification Of Adherence(Third EAC session),Adherence(Third session),,,,,Question,Coded,Adherence Good ; Adherence Fair ; Adherence Poor
ee910383-e469-4eab-a634-76a2f7a762c9,,Classification Of Adherence After EAC,Adherence After EAC,,,,,Question,Coded,Adherence Good ; Adherence Fair ; Adherence Poor
eeb4976d-704f-4dd0-a84b-34cfb06a52d6,,MDT Held?,MDT Held?,Multi-displinary team,,,,Question,Boolean,
f46b65c5-f62b-4ad9-a8c8-30cc6aca82f2,,Date MDT Held,Date MDT Held,,,,,Question,Date,
2252b2e9-adcd-4ee0-8bac-b74ce21a4627,,Extending EAC,Extending EAC,Extending EAC,,,,Misc,N/A,
af4406c4-bd39-4523-942c-8a45d95453f6,,Switch Regimen,Switch Regimen,Switch Regimen,,,,Misc,N/A,
85221b4d-ae80-402a-9d9a-8c9ba504771c,,MDT Outcome,MDT Outcome,Outcome  Of MDT,,,,Question,Coded,Extending EAC;Switch Regimen
d55337ae-d344-44cb-b780-0f051f6cb6b2,,Knowledge,Knowledge,,,,,Misc,N/A,
188dc5ba-1c33-4789-b39c-267a2ff29b96,,Forgot,Forgot,,,,,Misc,N/A,
c417a890-ceea-487e-b19f-6358a6e39379,,Feeling Better,Feeling Better,,,,,Misc,N/A,
f94de22a-75cc-4361-afb8-57ebc2f95579,,Concurrent illness,Concurrent illness,,,,,Misc,N/A,
a2832452-f729-4d85-87ff-04caa9185a5b,,Alcohol/Drugs,Alcohol/Drugs,,,,,Misc,N/A,
d7be0a00-82a2-47ef-87f7-13a25f881dc1,,Health/Beliefs/Alternate Remedies,Health/Beliefs/Alternate Remedies,,,,,Misc,N/A,
506d37ec-84b7-418c-925e-2a0ff9d72300,,Depression,Depression,,,,,Misc,N/A,
2a28777a-037f-4334-af14-a8feb6acfb2d,,Fear Disclosure,Fear Disclosure,,,,,Misc,N/A,
6ff84fab-c338-42f6-9e43-aebdd72a12a8,,Lack of Familiy/Partner Support,Lack of Familiy/Partner Support,,,,,Misc,N/A,
68a10b27-ab05-470c-b2c0-0a13e26b14c1,,Pill Burden,Pill Burden,,,,,Misc,N/A,
f02ffea9-5b05-4330-ba18-38222fd24028,,Child Behaviour/Refusing for Children on ART,Child Behaviour/Refusing for Children on ART,,,,,Misc,N/A,
e2e0c503-842c-4ddf-891d-111c65322dc5,,Side Effects From the drugs,Side Effects,,,,,Misc,N/A,
a9b92884-e629-4a6a-8214-0557f52ebb97,,Ran out Of Medcation,Ran out Of Medcation,,,,,Misc,N/A,
19c263aa-395e-4250-a762-2405c5d3b533,,Lost/Damaged,Lost/Damaged,,,,,Misc,N/A,
edbb167f-935e-41d2-b699-9e437ceea7f3,,Sharing Medications,Sharing Medications,,,,,Misc,N/A,
a437c938-ff0f-44f6-82d1-9363d593638d,,Transport,Transport,,,,,Misc,N/A,
7a15f044-a900-4c68-8d66-40f93aa94102,,Scheduling,Scheduling,,,,,Misc,N/A,
6d258ec0-6cf0-4905-b439-027fcbb0732f,,Failure To Adjust To food Insecurity,Failure To Adjust To food Insecurity,,,,,Misc,N/A,
15ca08ce-8b64-4652-ad03-2ff3da85a015,,Drug Stock Out,Drug Stock Out,,,,,Misc,N/A,
dd8f80f0-d238-4d4b-bd26-a58316eba54c,,Long Wait,Long Wait,,,,,Misc,N/A,
0cf0ff1e-09b7-40d8-ba16-431033de9828,,Stigma,Stigma,,,,,Misc,N/A,
24c7d1f1-26f6-495e-b7f8-79b45991ef1a,,Political Crisis,Political Crisis,,,,,Misc,N/A,
a393d1ee-e6eb-4f84-b75c-848a99343760,,Other First EAC Barrier Reason,Other Reason,,,,,Misc,N/A,
4d1b1fcb-2f88-4c54-b81c-b80faea42146,,First EAC Adherence Barriers,Barriers,,,,,Question,Coded,Knowledge ; Forgot ; Feeling Better ; Concurrent illness ; Alcohol/Drugs ; Health/Beliefs/Alternate Remedies ; Depression ; Fear Disclosure ; Lack of Familiy/Partner Support ; Pill Burden ; Child Behaviour/Refusing for Children on ART ; Side Effects ; Ran out Of Medcation ; Lost/Damaged ; Sharing Medications ; Transport ; Scheduling ; Failure To Adjust To food Insecurity ; Drug Stock Out ; Long Wait ;Stigma ; Political Crisis ; Other First EAC Barrier Reason
f481d175-85fa-45d6-bfd7-66d9deb34eaf,,First EAC Barrier Reason Specify,Specify Reason,,,,,Question,Text,
ad021c58-24b4-44cc-9390-c677528a7a0d,,Other Second EAC Barrier Reason,Other Reason,,,,,Misc,N/A,
17b6bbe0-3e4d-44fd-a4b9-5bcd0f442659,,Second EAC Barrier Reason Specify,Specify Reason,,,,,Question,Text,
39fa451a-8867-4881-a774-61f666f8ee89,,Second EAC Adherence Barriers,Barriers,,,,,Question,Coded,Knowledge ; Forgot ; Feeling Better ; Concurrent illness ; Alcohol/Drugs ; Health/Beliefs/Alternate Remedies ; Depression ; Fear Disclosure ; Lack of Familiy/Partner Support ; Pill Burden ; Child Behaviour/Refusing for Children on ART ; Side Effects ; Ran out Of Medcation ; Lost/Damaged ; Sharing Medications ; Transport ; Scheduling ; Failure To Adjust To food Insecurity ; Drug Stock Out ; Long Wait ;Stigma ; Political Crisis ; Other Second EAC Barrier Reason
47ddabf8-1b6f-4f8f-84d3-556ff5569a80,,Other Third EAC Barrier Reason,Other Reason,,,,,Misc,N/A,
f02fc247-6425-4aff-8557-e6db5701a9c9,,Third EAC Barrier Reason Specify,Specify Reason,,,,,Question,Text,
ac329b24-bdfe-494f-ab54-42766df12299,,Third EAC Adherence Barriers,Barriers,,,,,Question,Coded,Knowledge ; Forgot ; Feeling Better ; Concurrent illness ; Alcohol/Drugs ; Health/Beliefs/Alternate Remedies ; Depression ; Fear Disclosure ; Lack of Familiy/Partner Support ; Pill Burden ; Child Behaviour/Refusing for Children on ART ; Side Effects ; Ran out Of Medcation ; Lost/Damaged ; Sharing Medications ; Transport ; Scheduling ; Failure To Adjust To food Insecurity ; Drug Stock Out ; Long Wait ;Stigma ; Political Crisis ; Other Third EAC Barrier Reason
53c0db5c-38f9-4863-bcb2-a547d6b6b24a,,Clinical,,,,,,Misc,N/A,
65b2b048-039c-49a5-8712-cfec020af970,,Education,,,,,,Misc,N/A,
548d084a-1eb2-46f8-bc2b-8b721f5511de,,Counselling(ind),,,,,,Misc,N/A,
a7675030-3110-4b81-9380-4eceb0b8cf2d,,Counselling(grp),,,,,,Misc,N/A,
de829763-efa4-4abf-b31d-ccb3cb631554,,Peer Support,,,,,,Misc,N/A,
3bbe3de8-66bb-4873-8355-78b672a4cd4f,,Treatment Buddy,,,,,,Misc,N/A,
c11dcd7e-2ba5-42a2-96bb-91c1320541ba,,Drug pick-up,,,,,,Misc,N/A,
9b2056fd-7ecd-4852-87e4-fb75d66d7d1c,,DOT,,,,,,Misc,N/A,
7c03516d-9ad0-4cc6-8e02-b8f7d92f571a,,Case Mgmt.,,,,,,Misc,N/A,
67985df7-5e83-421d-93af-adf4f79bd8bb,,Pill Box,,,,,,Misc,N/A,
10e70817-2ddd-4c0f-901f-f880cf174f4a,,Calendar,,,,,,Misc,N/A,
c8c12202-78cd-4487-a372-9e0bb7b82d22,,Journal/Log,,,,,,Misc,N/A,
040e2374-cba4-4ed2-9a78-ca6bf7794b19,,Written Intructions,,,,,,Misc,N/A,
f76732e9-2326-4e93-9621-620813671885,,Phone Calls,,,,,,Misc,N/A,
35377043-8cdd-4c4d-9882-ee84e7a5e0a7,,SMS,,,,,,Misc,N/A,
310d8d2e-f0ea-43b5-810c-b6ea7d682e2a,,Alarms,,,,,,Misc,N/A,
fde15ffa-a932-4283-a2fb-644e2a6f78be,,Other Tools for First EAC,Other,Other Tools for First EAC,,,,Misc,N/A,
e56df280-c5d1-4462-953d-a01c9c76548c,,Specify Other Tools for First EAC,Specify,Specify Other Tools for First EAC,,,,Question,Text,
bd2f2773-e364-47c1-b824-07a5e6efbe06,,First EAC Service,Services,First EAC Service,,,,Question,Coded,Clinical ; Education ; Counselling(ind) ; Counselling(grp) ;Peer Support ;  Treatment Buddy;Drug pick-up ; DOT ; Case Mgmt.
8f856c55-6048-4a5d-97b7-4c1ee8e64424,,First EAC Tools,Tools,First EAC Tools,,,,Question,Coded,Pill Box ; Calendar ; Journal/Log ; Written Intructions ; Phone Calls ; SMS ; Alarms ; Other Tools for First EAC
759a95da-c775-497d-8df9-8e8d7c4ff960,,Second EAC Service,Services,Second EAC Service,,,,Question,Coded,Clinical ; Education ; Counselling(ind) ; Counselling(grp) ;Peer Support ;  Treatment Buddy;Drug pick-up ; DOT ; Case Mgmt.
3b7b5f6c-9cb0-4955-af8c-e62899bb6c0b,,Other Tools for Second EAC,Other,Other Tools for Second EAC,,,,Misc,N/A,
d6546dc9-132f-48d6-88f2-019c527e18fc,,Specify Other Tools for Second EAC,Specify,Specify Other Tools for Second EAC,,,,Question,Text,
6174b8e5-67c6-4a63-81c6-59424303b07b,,Second EAC Tools,Tools,Second EAC Tools,,,,Question,Coded,Pill Box ; Calendar ; Journal/Log ; Written Intructions ; Phone Calls ; SMS ; Alarms ; Other Tools for Second EAC
29d17d06-1e19-4977-a3c7-449ac9124955,,Third EAC Service,Services,Third EAC Service,,,,Question,Coded,Clinical ; Education ; Counselling(ind) ; Counselling(grp) ;Peer Support ;  Treatment Buddy;Drug pick-up ; DOT ; Case Mgmt.
4f2e942a-99db-4c8d-bf80-3492edf5097a,,Other Tools For Third EAC,Other,Other Tools For Third EAC,,,,Misc,N/A,
8ac67e0e-6e78-4ac3-8b51-bafea1b02c8c,,Specify Other Tools for Third EAC,Specify,Specify Other Tools for Third EAC,,,,Question,Text,
125f676b-28f0-424a-b321-f7fd0ccc857b,,Third EAC Tools,Tools,Third EAC Tools,,,,Question,Coded,Pill Box ; Calendar ; Journal/Log ; Written Intructions ; Phone Calls ; SMS ; Alarms ; Other Tools For Third EAC
0e16232e-3aa9-42b1-a8d3-b6ce2bc1a544,,First EAC Interventions,Interventions,First EAC Interventions,,,,Misc,N/A,
703a84f7-5f68-49b9-a0b5-af9d371e2248,,Second EAC Interventions,Interventions,Second EAC Interventions,,,,Misc,N/A,
9137a9c6-fb5c-403e-a148-21f964db1c9e,,Third EAC Interventions,Interventions,Third EAC Interventions,,,,Misc,N/A,
75d4842c-7f4a-4a84-b298-4d1a91b66eb0,,Investigations Information,Investigations Information,Investigations Information,,,,Misc,N/A,
02e3c15a-c756-4a66-9b2f-bb75140eec3e,,Investigations,Investigations,Investigations,,,,Misc,N/A,
c38e5cc4-3f10-11e4-adec-0800271c1b75,,Follow up Date,Follow up Date,Follow up Date,,,,Question,Date,
8ec83611-795e-44d0-b359-a667a073bf07,,Refer,Refer,Refer,,,,Misc,N/A,
5b4c24fd-b3b2-454b-8b26-2300ea774b07,,Consult,Consult,Consult,,,,Misc,N/A,
d521c7e0-207e-4e9d-97e4-e376b38b664f,,Link/Provide,Link/Provide,Link/Provide,,,,Misc,N/A,
0fc3cc86-6c9f-4d79-9c39-900dab27a33c,,Plan,Plan,Plan,,,,Question,Coded,Refer ; Consult ;Link/Provide;None
b87bac5e-b6ca-40a5-a3d0-a3fa34a94f5d,,Hospitalised,Hospitalised,Hospitalised,,,,Question,Boolean,
73aeaec5-4169-40a9-8b59-f799b28a548c,,Number of Days Hospitalized,# of Days,Number of Days Hospitalized,,,,Question,Numeric,
611d6c22-7c6d-47cf-a74e-190f9e3cdd47,,Clinician Name,Clinician Name,Clinician Name,,,,Question,Text,
9890cc1e-dbaf-49ec-82bb-1093dcf92ab6,,Follow up Information,Follow up Information,Follow up Information,,,,Misc,N/A,
6e845fe4-3722-462a-b740-a0a9fc1bad4e,,Viral Load Information,Viral Load Information,Viral Load Information,,,,Misc,N/A,
8d80fc60-ae0c-4169-a5a2-ecbeec36fe01,,Viral Load Section,Viral Load Section,Viral Load Section,,,,Misc,N/A,
07bee146-a5c0-432a-aa39-6c8bb0818634,,"Viral Load Information,","Viral Load Information,","Viral Load Information,",,,,Misc,N/A,
beffd410-b9a4-4cfd-9a29-22512980de1b,,HIV AND ART FOLLOW UP FORM,HIV AND ART FOLLOW UP FORM,HIV AND ART FOLLOW UP FORM,,,,Misc,N/A,
651fe449-14f9-44e7-8114-7dcd6d3f80ec,,EAC FORM,EAC FORM,EAC FORM,,,,Misc,N/A,
940923e2-433e-4d58-869f-dd099333af9b,,ENHANCED ADHERENCE COUNSELLING FORM,ENHANCED ADHERENCE COUNSELLING FORM,ENHANCED ADHERENCE COUNSELLING FORM,,,,Misc,N/A,
