Uuid,Answers,Members,Fully specified name:en,Data class,Data type,_version:3,_order:127
b6ae8e33-aa58-47e4-84be-5b8599a177b7,,"FP Pregnant ; EDD ;PMTCT - HIV & ART Follow up ; Enroll Patient To PMTCT; Current on FP ; FP Method ;Currently Breastfeeding?;  On TB Treatment ;Date Started TB Treatment ; TB Unit Number;TB Clinic Enrolled;Date Started TB RX  ; TB Regimen For Children;Side Effects ; New OI (other Problems);WHO Stage ; Cotrimoxazole/Dapsone,ART Followup; CTX Adherence; Reason why Adherence is Fair; Reason why Adherence is Poor;CTX Dose;INH ; Number of Pill Dispensed(INH) ;ARV Regimen ; Number of Days Dispensed",ART Follow up - Information,Misc,N/A,,
1a07bffa-2e01-43bb-880e-c68c02300b36,Adherence Good ; Adherence Fair ; Adherence Poor,,EAC Results,Question,Coded,,
46ae050e-e1b6-48e6-aa1f-bba975347f5a,Adherence Good ; Adherence Fair ; Adherence Poor,,Classification Of Adherence(First EAC session),Question,Coded,,
7c9976a3-f646-4ed4-8d2f-ab133ea9b292,Adherence Good ; Adherence Fair ; Adherence Poor,,Classification Of Adherence(Second EAC session),Question,Coded,,
6851bf56-ded4-4b89-ba93-d9d380927e15,Adherence Good ; Adherence Fair ; Adherence Poor,,Classification Of Adherence(Third EAC session),Question,Coded,,
ee910383-e469-4eab-a634-76a2f7a762c9,Adherence Good ; Adherence Fair ; Adherence Poor,,Classification Of Adherence After EAC,Question,Coded,,
eeb4976d-704f-4dd0-a84b-34cfb06a52d6,Yes;No,,MDT Held?,Question,Coded,,
85221b4d-ae80-402a-9d9a-8c9ba504771c,Extending EAC;Switch Regimen,,MDT Outcome,Question,Coded,,
d5d1d355-9e77-4e11-b733-884974f51169,Yes;No,,was counselling done?,Question,Coded,,
02e3c15a-c756-4a66-9b2f-bb75140eec3e,,"Date VL Sample Collected? ; Viral Load Result Received?; Date Viral Load Results Received; VL Results, Follow Up; VL Results",Investigations,Misc,N/A,,
07bee146-a5c0-432a-aa39-6c8bb0818634,,"Date VL Sample Collected? ; Viral Load Result Received?; Date Viral Load Results Received; VL Results, Follow Up; VL Results","Viral Load Information,",Misc,N/A,,
0fc3cc86-6c9f-4d79-9c39-900dab27a33c,"Refer ; 
Consult ;
Link/Provide;
None",,Patient Plan,Question,Coded,,
9890cc1e-dbaf-49ec-82bb-1093dcf92ab6,,Plan;Hospitalised; Number of Days Hospitalized ; Clinician Name,Follow up Information,Misc,N/A,,
beffd410-b9a4-4cfd-9a29-22512980de1b,,"ART Follow up - Information ; Viral Load Information, ; Follow up Information",HIV AND ART FOLLOW UP FORM,Misc,N/A,,
13498474-ba95-4fec-8010-c8c5e24748ff,"Nausea;
Rash;
Diarrhoea;
Anaemia;
FAT changes;
B, N burning/numb/tingling;
CNS: dizzy, anxiety, nightmare, depression;
Jaundice;
Abdominal pain;
Persistent headaches",,Side Effects,Question,Coded,,
b0058799-4655-471d-8124-6acd14c6beb1,"Toxicity/side effects;
Share with others;
Forgot;
Felt better;
Too ill;
Stigma, disclosure or privacy issues;
Drug stock out—dispensary;
Patient lost/ran out of pills;
Delivery/travel problems;
Inability to pay;
Alcohol/Drugs;
Depression;
pill burden;
Other Adherence Reason",,Reason why Adherence is Poor,Question,Coded,,
d0f3605e-f026-4ef8-973a-f471a236049a,"Toxicity/side effects;
Share with others;
Forgot;
Felt better;
Too ill;
Stigma, disclosure or privacy issues;
Drug stock out—dispensary;
Patient lost/ran out of pills;
Delivery/travel problems;
Inability to pay;
Alcohol/Drugs;
Depression;
pill burden;
Other Adherence Reason",,Reason why Adherence is Fair,Question,Coded,,
fa688045-dcfc-48bd-b2fc-1ddf8ff33ecb,,Opportunistic Infections,Opportunistic Infections Section,Misc,N/A,,
9b8347e7-3e90-4857-b5cf-7bc449ae21ec,Yes; No,,Is the client Represented?,Question,Coded,,
7cecb44e-82d8-4126-b385-2c2549731156,Yes; No,,Is client eligible for TPT?,Question,Coded,,
12ec18dc-5311-427d-a3cb-0a9ae64610d8,,"First EAC Session Date;
Classification Of Adherence(First EAC session);
Adherence Barriers;
First EAC Barrier Reason Specify;
First EAC Service;
First EAC Tools;
Specify Other Tools for First EAC;
Pill intake;
Pill percentage",First EAC Form,Misc,N/A,,
57a3514d-28cd-4340-9ebf-4d3e1f3c5efd,,"Second EAC Session Date; 
Classification Of Adherence(Second EAC session); 
Second EAC Adherence Barriers; 
Second EAC Barrier Reason Specify; 
Second EAC Service; 
Second EAC Tools; 
Specify Other Tools for Second EAC; 
Pill Intake Second EAC; 
Second EAC Pill percentage",Second EAC Form,Misc,N/A,,
360bc040-6d64-4b6a-8405-87cfd081880c,,"Third EAC Session Date; 
Classification Of Adherence(Third EAC session); 
Third EAC Adherence Barriers; 
Third EAC Barrier Reason Specify;
Third EAC Service;
Third EAC Tools;
Specify Other Tools for Third EAC;
Pill Intake Third EAC;
Third EAC Pill percentage",Third EAC Form,Misc,N/A,,
