Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:120,Data class,Data type,Answers
2109aef6-544f-4802-8d43-c6ae9fc9dd4d,,Abnormal findings throat Other specify,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
03affd5a-afd0-42a4-9c76-5dcdc54f4593,,Lymph nodes/ Glands -Organ system,,,,,,Misc,Coded,Normal; Abnormal
1e306d0c-37f6-4f81-9720-7c2c5fe36b57,,Generalized LAP,Generalized LAP,Generalized LAP,,,,Misc,N/A,
5277e38f-6b88-4407-b27c-1817111eac45,,Localized LAP,Localized LAP,Localized LAP,,,,Misc,N/A,
d78f8a85-153b-43f8-a763-86b7dd3a6203,,Parotid Enlargement Unilateral,Parotid Enlargement Unilateral,Parotid Enlargement Unilateral,,,,Misc,N/A,
bd25632c-cd83-4753-9e72-b3215931d7aa,,Parotid Enlargement Bilateral,Parotid Enlargement Bilateral,Parotid Enlargement Bilateral,,,,Misc,N/A,
cbd3ca46-ae1c-4b1b-af19-e4cec79a1364,,Lymph nodes/ Glands - If abnormal tick and /or describe additional findings,,,,,,Misc,Coded,Generalized LAP; Localized LAP; Parotid Enlargement Unilateral; Parotid Enlargement Bilateral
776ddf5a-e59e-4dd6-ad7a-643ffe7e5d25,,Localized LAP specify,Localized LAP specify,Localized LAP specify,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
a68c104e-0e7b-4c04-966d-a9e37a1d6f71,,Respiratory,Respiratory,Respiratory,,,,Misc,Coded,Normal; Abnormal
17aded46-0c88-4434-ab3d-37858affbaee,,Retractions(Chest in drawing),Retractions(Chest in drawing),Retractions(Chest in drawing),,,,Misc,N/A,
9584a97a-29e2-4ced-9995-e975ba399920,,Cyanosis,Cyanosis,Cyanosis,,,,Misc,N/A,
224b7592-4e15-11e4-8a57-0800271c1b75,,Wheezing,Wheezing,Wheezing,,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
6e2c2365-b5e7-40b1-ba5f-848b2979249b,,Respiratory/Chest - If abnormal tick and /or describe additional findings,,,,,,Misc,Coded,"Retractions(Chest in drawing); Cyanosis, Wheezing; Abnormal Other"
33db6704-6cdd-46e0-b8ee-b7a874789d71,,Abnormal findings Respiratory/Chest Other specify,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
33e2d19f-4a62-4dca-8e11-e08b96d59d6b,,CVS/Heart - Organ system,,,,,,Misc,Coded,Normal; Abnormal
f4866b75-de82-4deb-81fb-f6350a9aeae1,,CVS/Heart Abnormal describe,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
05c4679b-2531-44db-82c0-35022a3b9606,,SYSTEMIC FINDINGS Abdomen,,,,,,Misc,Coded,Normal; Abnormal
80a1d3c1-588c-405d-ab6c-1c33df571f75,,Hepatomegaly,Hepatomegaly,Hepatomegaly,,,,Misc,N/A,
b861a0f1-40d3-4fba-8500-a3edeefc414c,,Splenomegaly,Splenomegaly,Splenomegaly,,,,Misc,N/A,
1cca1230-3125-4d21-93c0-12ba43d566d9,,Ascites,Ascites,Ascites,,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
0b8a1b8f-156e-415b-bef4-428c56841ecf,,Abdomen - If abnormal tick and /or describe additional findings,,,,,,Misc,Coded,Hepatomegaly; Splenomegaly; Ascites; Abnormal Other
f0d2047e-1bf4-4076-968c-0d45a879cd57,,Abnormal findings Abdomen Other specify,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
4fa94629-5591-47fb-bdc3-26f98277730b,,External Genitalia - Organ system,,,,,,Misc,Coded,Normal; Abnormal
8c85e56c-43d8-4205-ba2a-33a2c11923c1,,External Genitalia describe,External Genitalia describe,External Genitalia describe,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
79c990dd-4fc7-4ac5-b026-fc868c5a9d6d,,Musculoskeletal system,,,,,,Misc,Coded,Normal; Abnormal
ae0104a3-200f-40f2-8500-5250bb8abe82,,Fungal infection of the nails,Fungal infection of the nails,Fungal infection of the nails,,,,Misc,N/A,
71717cd5-d184-4ca4-9167-569e382b6733,,Clubbing,Clubbing,Clubbing,,,,Misc,N/A,
4a50aad6-c7ea-4c9d-b4ee-bb5601a85643,,Joint swelling/limitation,Joint swelling/limitation,Joint swelling/limitation,,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
ce7561e1-36fb-4ec9-9951-a0805c967889,,Musculoskeletal system/Limbs - If abnormal tick and /or describe additional findings,,,,,,Misc,Coded,Fungal infection of the nails; Clubbing; Joint swelling/limitation; Abnormal Other
8cd4b486-a260-4ad9-b78d-aee8ef438097,,Abnormal findings Musculoskeletal system Other specify,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
ea723122-0da5-4c1b-b82a-8e17707ea364,,Skin - Organ system,,,,,,Misc,Coded,Normal; Abnormal
37ecf958-4a2f-460c-b407-ff901b6607a8,,Molluscum Contagiosum,Molluscum Contagiosum,Molluscum Contagiosum,,,,Misc,N/A,
62c4be97-6593-46e4-b5ed-22dc776f5996,,Warts,Warts,Warts,,,,Misc,N/A,
cc23bab5-d6eb-4e16-948b-25a366080dba,,Papular pruritic eruption,Papular pruritic eruption,Papular pruritic eruption,,,,Misc,N/A,
c5281bd2-70b1-4efb-8863-afc296c38a95,,Pyoderma,Pyoderma,Pyoderma,,,,Misc,N/A,
c6b7d217-b492-4035-a7d9-e091179ec510,,Abnormal Other,Abnormal Other,Abnormal Other,,,,Misc,N/A,
383d1116-edbb-41ae-82f3-9a712049904d,,Skin - If abnormal tick and /or describe additional findings,,,,,,Misc,Coded,"Molluscum; 
Contagiosum; 
Warts;
Papular pruritic eruption;
Pyoderma;
Abnormal Other"
8cd4b486-a260-4ad9-b78d-aee8ef438097,,Abnormal findings Skin Other specify,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
e5f785d7-0e0c-4e3e-a88e-e642d24bbf3e,,SYSTEMIC FINDINGS Nervous system,,,,,,Misc,Coded,Normal; Abnormal
2e3dd62e-4011-4098-a0b8-09ac9117b13d,,Stiffness - Nervous system,Stiffness - Nervous system,Stiffness - Nervous system,,,,Misc,N/A,
86fcc3b5-a30a-428d-8840-865bb32c520b,,Weakness - Nervous system,Weakness - Nervous system,Weakness - Nervous system,,,,Misc,N/A,
aefc5773-edcd-4300-b8b6-7da69e3591ec,,Nervous system - If abnormal tick and /or describe additional findings,Nervous system - If abnormal tick and /or describe additional findings,Nervous system - If abnormal tick and /or describe additional findings,,,,Misc,Coded,"Stiffness - Nervous system; Weakness - Nervous system;
Abnormal Other"
6999d7ed-1a6f-48f2-bad4-e18559d26f19,,Abnormal findings Nervous system describe,,,,,,Question,Text,
c45f6876-3f10-11e4-adec-0800271c1b75,,Normal,Normal,Normal,,,,Misc,N/A,
5cd2823c-fa3b-47e4-9a20-9802ebbec8c5,,Abnormal,Abnormal,Abnormal,,,,Misc,N/A,
4aef81de-c629-457c-a92a-ea8234defe10,,SYSTEMIC FINDINGS Developmental Assessment,,,,,,Misc,Coded,Normal; Abnormal
265d2eb7-b5e4-4065-89e9-33fdeba580c9,,Delayed,Delayed,Delayed,,,,Misc,N/A,
00ecf4d6-1f91-43b4-9ba2-d98bf6674da9,,Regression,Regression,Regression,,,,Misc,N/A,
884f8a32-f78e-4087-838c-93fe5bc1c668,,Developmental Assessment - If abnormal tick and /or describe additional findings,,,,,,Misc,Coded,Delayed; Regression
eaf81bcd-552e-465a-ac12-655751e144b8,,Abnormal findings Delayed describe,,,,,,Question,Text,
c491474a-fcae-481a-99da-15f784cc0ecd,,Abnormal findings Regression describe,,,,,,Question,Text,
